#{"config": {"calib_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib_c920_1280x720.yaml", "cli_overrides": ["camera", "config", "debug_metrics", "ekf", "ema_alpha", "extrinsics", "fps", "height", "hud", "print_tilt", "rig", "save_poses", "use_weighted_se3", "video", "width"], "config_path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "extrinsics_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC_c920_1280x720.yaml", "rig_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "runtime": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.25, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15.0, "spike_reset_after": 10}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/v2/debug_dotec_c920_720p_ekf_spike.csv", "poses_csv": "phase_b/v2/poses_dotec_c920_720p_ekf_spike.csv"}, "ransac": {"A_ref_px2": 12000.0, "adaptive": false, "base_rot_deg": 5.0, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5.0, "trans_max_m": 0.05}, "video": {"device": "0", "fps": 30.0, "height": 720, "width": 1280}}, "yaml": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.3, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/debug_metrics.csv", "poses_csv": "phase_b/poses.csv"}, "ransac": {"A_ref_px2": 12000, "adaptive": false, "base_rot_deg": 5, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5, "trans_max_m": 0.05}, "video": {"device": 2, "fps": 30, "height": 1080, "width": 1920}}}, "files": {"camera_calib": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib_c920_1280x720.yaml", "sha256": "573557a42826c5380bc3867f2f28b81a7f2be3c4fe86e1273e5a2173b39064b9"}, "config": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "sha256": "9c664548f0c4998345c599764857540af456008cc4bf230d90b575c908eaec28"}, "extrinsics": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC_c920_1280x720.yaml", "sha256": "277bbcc38f32afb31f41ecb04e2b07da41211799d8d67942ddf0073810bc1809"}, "rig": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "sha256": "f0fd590bf211070dbb1b2c6b32f4041175f33703203978255bdee60a8b77b6ef"}}, "git_commit": null, "timestamp": 1766331856.024895}
t,fps,n_visible,n_inliers,mean_reproj,ransac_score,weight_min,weight_max,tilt_deg,mean_tag_area_px2,mean_view_cos,mean_reproj_px,ransac_trans_eff,ransac_rot_eff,n_unknown_ids,n_mirror_discards,spike_delta_trans_m,spike_delta_rot_deg,spike_trans_thresh_m,spike_rot_thresh_deg,spike_ref_age_frames,spike_ref_frame_idx
1766331860.544158,15.297,6,6,27.645,0.00000,0.053,0.312,84.738,602.2,0.6664,27.645,0.0500,5.000,0,0,,,,,,
1766331860.611249,14.881,6,6,27.645,0.00000,0.053,0.314,84.758,601.9,0.6659,27.645,0.0500,5.000,0,0,,,,,,
1766331860.675998,15.258,6,6,27.638,0.00000,0.052,0.313,84.777,601.8,0.6666,27.638,0.0500,5.000,0,0,,,,,,
1766331860.740748,15.304,6,6,27.646,0.00000,0.052,0.312,84.789,602.0,0.6665,27.646,0.0500,5.000,0,0,,,,,,
1766331860.807970,14.900,6,6,27.646,0.00000,0.053,0.313,84.798,601.9,0.6664,27.646,0.0500,5.000,0,0,,,,,,
1766331860.875902,15.162,6,6,27.628,0.00000,0.052,0.312,84.777,601.8,0.6671,27.628,0.0500,5.000,0,0,,,,,,
1766331860.941067,15.150,6,6,27.642,0.00000,0.052,0.312,84.798,601.9,0.6664,27.642,0.0500,5.000,0,0,,,,,,
1766331861.004692,15.068,6,6,27.624,0.00000,0.052,0.311,84.816,601.7,0.6670,27.624,0.0500,5.000,0,0,,,,,,
1766331861.071819,15.257,6,6,27.650,0.00000,0.053,0.312,84.811,602.1,0.6662,27.650,0.0500,5.000,0,0,,,,,,
1766331861.140732,15.606,6,6,27.654,0.00000,0.053,0.314,84.789,602.3,0.6660,27.654,0.0500,5.000,0,0,,,,,,
1766331861.243844,10.038,6,6,27.641,0.00000,0.052,0.311,84.774,601.9,0.6670,27.641,0.0500,5.000,0,0,,,,,,
1766331861.311172,15.277,6,6,27.635,0.00000,0.052,0.313,84.771,601.7,0.6670,27.635,0.0500,5.000,0,0,,,,,,
1766331861.375212,15.017,6,6,27.649,0.00000,0.052,0.314,84.760,602.0,0.6659,27.649,0.0500,5.000,0,0,,,,,,
1766331861.496279,7.572,6,6,27.645,0.00000,0.053,0.311,84.764,602.2,0.6669,27.645,0.0500,5.000,0,0,,,,,,
1766331861.563753,15.253,6,6,27.634,0.00000,0.052,0.313,84.754,602.0,0.6667,27.634,0.0500,5.000,0,0,,,,,,
1766331861.632119,14.913,6,6,27.642,0.00000,0.052,0.314,84.728,601.9,0.6666,27.642,0.0500,5.000,0,0,,,,,,
1766331861.698864,15.424,6,6,27.650,0.00000,0.053,0.313,84.658,602.0,0.6657,27.650,0.0500,5.000,0,0,,,,,,
1766331861.761957,15.012,6,6,27.637,0.00000,0.052,0.312,84.688,601.6,0.6667,27.637,0.0500,5.000,0,0,,,,,,
1766331861.873077,12.069,6,6,27.647,0.00000,0.052,0.312,84.699,602.1,0.6666,27.647,0.0500,5.000,0,0,,,,,,
1766331861.933106,12.304,6,6,27.654,0.00000,0.052,0.314,84.723,602.3,0.6667,27.654,0.0500,5.000,0,0,,,,,,
1766331861.999610,15.011,6,6,27.662,0.00000,0.053,0.313,84.764,602.4,0.6667,27.662,0.0500,5.000,0,0,,,,,,
1766331862.062841,15.203,6,6,27.645,0.00000,0.052,0.313,84.762,601.9,0.6659,27.645,0.0500,5.000,0,0,,,,,,
1766331862.129164,15.271,6,6,27.631,0.00000,0.052,0.312,84.784,601.6,0.6666,27.631,0.0500,5.000,0,0,,,,,,
1766331862.195621,14.806,6,6,27.630,0.00000,0.052,0.310,84.769,601.8,0.6671,27.630,0.0500,5.000,0,0,,,,,,
1766331862.271542,15.089,6,6,27.650,0.00000,0.052,0.313,84.764,602.2,0.6674,27.650,0.0500,5.000,0,0,,,,,,
1766331862.332934,15.516,6,6,27.646,0.00000,0.052,0.313,84.791,601.8,0.6665,27.646,0.0500,5.000,0,0,,,,,,
1766331862.401809,15.202,6,6,27.645,0.00000,0.053,0.312,84.782,602.4,0.6669,27.645,0.0500,5.000,0,0,,,,,,
1766331862.471018,15.097,6,6,27.628,0.00000,0.052,0.310,84.781,601.7,0.6669,27.628,0.0500,5.000,0,0,,,,,,
1766331862.544036,15.127,6,6,27.663,0.00000,0.053,0.315,84.765,602.2,0.6660,27.663,0.0500,5.000,0,0,,,,,,
1766331862.625430,10.093,6,6,27.654,0.00000,0.052,0.311,84.750,602.3,0.6662,27.654,0.0500,5.000,0,0,,,,,,
1766331862.693100,14.997,6,6,27.656,0.00000,0.052,0.312,84.745,602.3,0.6661,27.656,0.0500,5.000,0,0,,,,,,
1766331862.758649,14.916,6,6,27.637,0.00000,0.052,0.312,84.758,601.9,0.6669,27.637,0.0500,5.000,0,0,,,,,,
1766331862.828458,15.276,6,6,27.649,0.00000,0.052,0.312,84.771,602.1,0.6666,27.649,0.0500,5.000,0,0,,,,,,
1766331862.894242,15.067,6,6,27.638,0.00000,0.053,0.312,84.770,601.9,0.6667,27.638,0.0500,5.000,0,0,,,,,,
1766331862.956839,15.557,6,6,27.638,0.00000,0.052,0.311,84.775,602.0,0.6670,27.638,0.0500,5.000,0,0,,,,,,
1766331863.024719,14.638,6,6,27.652,0.00000,0.053,0.313,84.774,602.2,0.6669,27.652,0.0500,5.000,0,0,,,,,,
1766331863.083977,15.713,6,6,27.644,0.00000,0.052,0.312,84.776,602.1,0.6671,27.644,0.0500,5.000,0,0,,,,,,
1766331863.151585,14.725,6,6,27.656,0.00000,0.053,0.314,84.773,602.0,0.6664,27.656,0.0500,5.000,0,0,,,,,,
1766331863.218345,15.255,6,6,27.639,0.00000,0.052,0.312,84.775,601.9,0.6667,27.639,0.0500,5.000,0,0,,,,,,
1766331863.288293,15.013,6,6,27.652,0.00000,0.053,0.313,84.754,602.2,0.6661,27.652,0.0500,5.000,0,0,,,,,,
1766331863.353216,15.057,6,6,27.632,0.00000,0.052,0.313,84.728,601.9,0.6666,27.632,0.0500,5.000,0,0,,,,,,
1766331863.422352,15.097,6,6,27.643,0.00000,0.052,0.312,84.747,602.0,0.6669,27.643,0.0500,5.000,0,0,,,,,,
1766331863.548219,7.654,6,6,27.654,0.00000,0.052,0.313,84.723,602.0,0.6658,27.654,0.0500,5.000,0,0,,,,,,
