#{"config": {"calib_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib.yaml", "cli_overrides": ["adapt", "camera", "config", "debug_metrics", "ekf", "ema_alpha", "extrinsics", "fps", "height", "hud", "print_tilt", "ransac", "rig", "save_poses", "use_weighted_se3", "video", "width"], "config_path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "extrinsics_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC.yaml", "rig_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_paper.yaml", "runtime": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.25, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15.0}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/debug_metrics.csv", "poses_csv": "phase_b/v2/poses_v2_full.csv"}, "ransac": {"A_ref_px2": 12000.0, "adaptive": true, "base_rot_deg": 5.0, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5.0, "trans_max_m": 0.05}, "video": {"device": "0", "fps": 30.0, "height": 1080, "width": 1920}}, "yaml": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.3, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/debug_metrics.csv", "poses_csv": "phase_b/poses.csv"}, "ransac": {"A_ref_px2": 12000, "adaptive": false, "base_rot_deg": 5, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5, "trans_max_m": 0.05}, "video": {"device": 2, "fps": 30, "height": 1080, "width": 1920}}}, "files": {"camera_calib": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib.yaml", "sha256": "a3583ec3b05ec4397f74222c4802234f7ee960b25f93061cb951120e268bc42f"}, "config": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "sha256": "9c664548f0c4998345c599764857540af456008cc4bf230d90b575c908eaec28"}, "extrinsics": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC.yaml", "sha256": "fe24fb1afd868ebbf0d17c89865e0023b67ad83c862b7efdc4fab8598a079465"}, "rig": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_paper.yaml", "sha256": "e4048a572421f174e4670fbb51050d61e65957319f0f3d120df78c66f49c0a91"}}, "git_commit": null, "timestamp": 1764781077.070817}
timestamp,frame,used_ids,decision_margins,rvec_cam_x,rvec_cam_y,rvec_cam_z,tvec_cam_x,tvec_cam_y,tvec_cam_z,rvec_world_x,rvec_world_y,rvec_world_z,tvec_world_x,tvec_world_y,tvec_world_z,tilt_cam_deg,tilt_world_deg
1764782595.257544,4,101;105;109;200;201;202,98.286;91.039;93.471;82.655;88.550;75.847,-0.6270483259979674,1.0823105946559415,1.9725693148643615,-0.30027568488698325,0.0861587142900295,0.28122084044276535,0.997664054139038,-1.2872813021687481,-1.9055492305045143,0.05808619166666354,-0.3535604569534818,-0.20754437281759805,59.028,76.231
1764782595.402233,5,101;105;109;200;201;202,97.414;91.403;93.811;82.272;87.722;75.080,-0.6246998830312968,1.0848383944585627,1.9737894132994795,-0.30230546519330737,0.0833255173992013,0.28316322048731685,0.9955672930917584,-1.28970922278643,-1.9073872413326627,0.057787058864110175,-0.3574234878898447,-0.20565149168335378,59.058,76.228
1764782595.532210,6,101;105;109;200;201;202,97.667;92.040;94.123;81.729;87.164;74.669,-0.6227987638729241,1.0870245635484126,1.9731490956069977,-0.30388113783897974,0.08132275615203673,0.284714801039306,0.9935793643495545,-1.2920476907874197,-1.907215826889691,0.05781887766545368,-0.3605943560316525,-0.2039295407506565,59.108,76.257
1764782595.665865,7,101;105;109;200;201;202,97.409;92.106;94.851;82.985;87.582;76.562,-0.6210868726775233,1.0896683131097311,1.974264475013023,-0.30519280591776865,0.07887805791264577,0.28656316772005075,0.9921186721435437,-1.294575445947119,-1.9088400042932907,0.057921290719468735,-0.36366940806918796,-0.20218166117662578,59.159,76.277
1764782595.800086,8,101;105;109;200;201;202,97.295;91.034;94.746;81.314;87.349;75.325,-0.6203161335026025,1.0905909852896374,1.9736617736721271,-0.3063552983244706,0.07781945971258643,0.28743905150261556,0.9912515855142396,-1.2956088523345453,-1.908421198652034,0.05794227025427191,-0.36562185431849287,-0.20133446654353568,59.185,76.296
1764782595.932638,9,101;105;109;200;201;202,97.677;91.372;93.918;81.575;87.116;77.335,-0.6195447270714725,1.091460241078397,1.9747894956816874,-0.30704780272819054,0.07661863966883847,0.28827361067815116,0.9906956412818666,-1.2963392713288684,-1.9097730191896705,0.057854988484655506,-0.36701431365507375,-0.20068942325261416,59.188,76.284
1764782596.072226,10,101;105;109;200;201;202,98.012;91.125;93.974;81.447;87.387;77.456,-0.6188425947055584,1.0936215847865154,1.9746577154865965,-0.3074375913965442,0.07522928033163553,0.2894561532355886,0.9900260859615012,-1.298524676848939,-1.9099057009558782,0.058332110542952134,-0.36867763266045195,-0.19934765468260046,59.258,76.337
1764782596.207309,11,101;105;109;200;201;202,97.357;91.403;94.223;81.413;87.228;76.936,-0.6182227926772184,1.0949962554712849,1.975423758455541,-0.3078520362364526,0.0741096197281244,0.29037401164821947,0.989576878013296,-1.2997994715474113,-1.9108926995450788,0.058492382916561794,-0.3699466376232846,-0.19856478477640588,59.288,76.352
1764782596.334586,12,101;105;109;200;201;202,97.588;91.075;94.260;81.472;87.425;76.259,-0.6176990772249004,1.0963547913611498,1.975025287235279,-0.30834011922068777,0.07324213499073423,0.29109981267196855,0.9890143436144708,-1.3012224891262671,-1.9106673671628114,0.05868349556145716,-0.37122132934142177,-0.19769067689990666,59.334,76.388
1764782596.466874,13,101;105;109;200;201;202,98.399;91.476;94.418;82.348;87.428;76.034,-0.6175416730117674,1.0971622962922014,1.976901503200978,-0.30880275487127806,0.07242998618470117,0.2915975884012285,0.98922072191328,-1.3017552956667475,-1.9126725131937514,0.05840665332373203,-0.37200205585848717,-0.19751418876062787,59.339,76.379
1764782596.600605,14,101;105;109;200;201;202,98.137;90.527;94.529;82.226;88.440;76.626,-0.617625504953839,1.0979048355474248,1.9767665255554887,-0.3090865185014615,0.07174174730178404,0.2921225612702905,0.9893072837145891,-1.3025043283175952,-1.912567687582786,0.05870226824396754,-0.37280589505775646,-0.1969071801637215,59.371,76.407
